Entry	Status	Gene ontology (molecular function)
Q8MR83	unreviewed	
Q9NBD7	reviewed	GTP binding [GO:0005525]; kinetochore binding [GO:0043515]; microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010]
Q9VK61	unreviewed	
Q9VKX4	reviewed	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
Q9VMI8	unreviewed	
Q7KMM4	unreviewed	carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]
Q9V3P3	unreviewed	endopeptidase activator activity [GO:0061133]; endopeptidase inhibitor activity [GO:0004866]
Q9VBH6	unreviewed	
Q9VTD2	unreviewed	
P11584	reviewed	integrin binding [GO:0005178]; protein heterodimerization activity [GO:0046982]
P11596	reviewed	pre-mRNA binding [GO:0036002]
Q9VAC1	unreviewed	catalytic activity [GO:0003824]
Q9VLX3	unreviewed	
Q9VP13	unreviewed	
P11956	reviewed	copper ion binding [GO:0005507]; metal ion binding [GO:0046872]
P12080	reviewed	extracellular matrix binding [GO:0050840]; protein heterodimerization activity [GO:0046982]
P12297	reviewed	RNA binding [GO:0003723]
Q9VES0	unreviewed	
Q9VKV8	reviewed	
P12370	reviewed	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein serine/threonine kinase activity [GO:0004674]
P12426	reviewed	adenine binding [GO:0002055]; adenine phosphoribosyltransferase activity [GO:0003999]; AMP binding [GO:0016208]
Q9W445	reviewed	RNA binding [GO:0003723]
P12613	reviewed	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]
Q0E8Q7	unreviewed	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]
P12646	reviewed	glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]
P12881	reviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
Q9V5C6	reviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
Q0E9G3	reviewed	protein phosphatase 1 binding [GO:0008157]
Q4QPV3	unreviewed	
Q9V3C7	unreviewed	protein phosphatase 1 binding [GO:0008157]; protein phosphatase inhibitor activity [GO:0004864]
Q9V7W9	unreviewed	mRNA binding [GO:0003729]; protein phosphatase 1 binding [GO:0008157]; protein phosphatase inhibitor activity [GO:0004864]; protein serine/threonine phosphatase inhibitor activity [GO:0004865]
Q9VF13	unreviewed	
Q9VGJ2	unreviewed	protein phosphatase inhibitor activity [GO:0004864]
Q9VIB1	unreviewed	cholinesterase activity [GO:0004104]
P13002	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein homodimerization activity [GO:0042803]; sequence-specific DNA binding [GO:0043565]
Q23976	reviewed	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; telomeric DNA binding [GO:0042162]
Q7KNA0	reviewed	
Q7KVQ0	reviewed	box H/ACA snoRNA binding [GO:0034513]
Q8I0G5	reviewed	structural molecule activity [GO:0005198]
Q8T4C9	unreviewed	
Q9VT67	reviewed	
Q9W3M3	reviewed	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
P15425	reviewed	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; unfolded protein binding [GO:0051082]
P54356	reviewed	heparin binding [GO:0008201]
Q9V3U2	reviewed	box H/ACA snoRNA binding [GO:0034513]; RNA binding [GO:0003723]
Q9VDU3	unreviewed	CoA-ligase activity [GO:0016405]; fatty acid ligase activity [GO:0015645]
Q9VDU4	unreviewed	CoA-ligase activity [GO:0016405]; fatty acid ligase activity [GO:0015645]
Q9VEI9	reviewed	DNA binding [GO:0003677]; sequence-specific DNA binding [GO:0043565]
Q9VW25	unreviewed	poly-ADP-D-ribose binding [GO:0072572]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
P13095	reviewed	ubiquitin protein ligase binding [GO:0031625]
Q9VKC4	unreviewed	nucleic acid binding [GO:0003676]
Q9VQF7	reviewed	
Q9VMM4	unreviewed	
Q9VQ77	unreviewed	DNA binding [GO:0003677]
Q9VTT2	unreviewed	identical protein binding [GO:0042802]
Q9VXL5	unreviewed	DNA binding [GO:0003677]
Q9Y104	unreviewed	
P13217	reviewed	calcium ion binding [GO:0005509]; GTPase activator activity [GO:0005096]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase C activity [GO:0004629]
Q9VGW6	reviewed	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; helicase activity [GO:0004386]
Q8T8R6	unreviewed	
Q9VL44	unreviewed	serine-type endopeptidase inhibitor activity [GO:0004867]
Q9VXQ0	unreviewed	structural constituent of ribosome [GO:0003735]
X2JEE5	unreviewed	
P13469	reviewed	DNA binding [GO:0003677]; mRNA binding [GO:0003729]; sequence-specific DNA binding [GO:0043565]
P13496	reviewed	dynein complex binding [GO:0070840]; dynein intermediate chain binding [GO:0045505]; microtubule binding [GO:0008017]; motor activity [GO:0003774]
Q9VKU4	unreviewed	
P13582	reviewed	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]
P23938	reviewed	
P13677	reviewed	ATP binding [GO:0005524]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]
Q9VVH0	unreviewed	magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]
C0HKF8	reviewed	serine-type endopeptidase activity [GO:0004252]
C0HKF7	reviewed	serine-type endopeptidase activity [GO:0004252]
Q24255	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
Q9I7K4	unreviewed	
P13709	reviewed	
Q9VCX7	unreviewed	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
Q86P18	unreviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]
Q9VJ43	unreviewed	phospholipid transporter activity [GO:0005548]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]
P14318	reviewed	actin binding [GO:0003779]
Q9VF85	unreviewed	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]
Q9VSH8	unreviewed	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
C0HKQ7	reviewed	
C0HKQ8	reviewed	
P14956	reviewed	
P45843	reviewed	amine transmembrane transporter activity [GO:0005275]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]; drug transmembrane transporter activity [GO:0015238]; pigment binding [GO:0031409]
S5M3P7	unreviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]
Q8MZE0	unreviewed	nucleotide binding [GO:0000166]; phosphorus-oxygen lyase activity [GO:0016849]
Q9VFA2	unreviewed	zinc ion transmembrane transporter activity [GO:0005385]
P25159	reviewed	double-stranded RNA binding [GO:0003725]; microtubule binding [GO:0008017]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q24478	reviewed	chromatin binding [GO:0003682]; chromatin insulator sequence binding [GO:0043035]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]; POZ domain binding [GO:0031208]; protein homodimerization activity [GO:0042803]
Q400N2	unreviewed	
Q7JZN0	unreviewed	ARF guanyl-nucleotide exchange factor activity [GO:0005086]
Q7K1C0	unreviewed	NADH dehydrogenase activity [GO:0003954]
Q7K8Y5	unreviewed	cysteine-type endopeptidase inhibitor activity [GO:0004869]; serine-type endopeptidase inhibitor activity [GO:0004867]
Q8I9J6	unreviewed	histone deacetylase activity [GO:0004407]; metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]
Q8IQE6	unreviewed	phospholipid binding [GO:0005543]
Q8T390	reviewed	lysophosphatidic acid acyltransferase activity [GO:0042171]; phospholipid binding [GO:0005543]
Q9I7C6	unreviewed	structural constituent of chitin-based larval cuticle [GO:0008010]
Q9V3D2	reviewed	coproporphyrinogen oxidase activity [GO:0004109]; protein homodimerization activity [GO:0042803]
Q9VBI3	unreviewed	
Q9VE40	unreviewed	chitin binding [GO:0008061]
Q9VF89	reviewed	structural constituent of ribosome [GO:0003735]
Q9VG31	unreviewed	malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malate dehydrogenase (decarboxylating) (NADP+) activity [GO:0004473]; malic enzyme activity [GO:0004470]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]
Q9VJ11	unreviewed	calcium channel activity [GO:0005262]
Q9VJ14	unreviewed	myosin II heavy chain binding [GO:0032038]; myosin II light chain binding [GO:0032033]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q9VPP7	unreviewed	
Q9VSY4	reviewed	tubulin N-acetyltransferase activity [GO:0019799]
Q9VZS5	reviewed	structural constituent of ribosome [GO:0003735]
Q59DZ7	unreviewed	ATP binding [GO:0005524]; collagen binding [GO:0005518]; protein tyrosine kinase activity [GO:0004713]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]
Q9VBD6	unreviewed	structural constituent of chitin-based cuticle [GO:0005214]
Q9VZD5	reviewed	small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]
Q95SP2	reviewed	p53 binding [GO:0002039]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]
Q9VCR3	reviewed	calcium ion binding [GO:0005509]; serine-type endopeptidase inhibitor activity [GO:0004867]; Wnt-protein binding [GO:0017147]
Q9VH18	unreviewed	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Q9VIM6	unreviewed	DNA binding [GO:0003677]
Q9VXZ0	unreviewed	NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]
Q9W3Q2	unreviewed	DNA binding [GO:0003677]
Q86PC9	reviewed	phosphatidylinositol binding [GO:0035091]
P40656	reviewed	DNA binding, bending [GO:0008301]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]
Q9VJJ6	unreviewed	DNA binding [GO:0003677]
Q9VV14	unreviewed	
Q9Y156	unreviewed	chitin binding [GO:0008061]
P32030	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enhancer sequence-specific DNA binding [GO:0001158]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
Q01071	reviewed	DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q9VDA2	unreviewed	sequence-specific DNA binding [GO:0043565]
Q9VFM2	unreviewed	
Q9VPF9	unreviewed	
Q9VT66	unreviewed	
Q9W4U0	unreviewed	
P16376	reviewed	nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q9V3I2	unreviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]
Q9VC60	unreviewed	RNA binding [GO:0003723]
Q9VHK9	unreviewed	
Q9VJ57	unreviewed	gamma-tubulin binding [GO:0043015]
Q9VJX7	unreviewed	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]
P16548	reviewed	hormone activity [GO:0005179]
Q9VZU4	unreviewed	NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]
Q9W4P4	unreviewed	
P16554	reviewed	ATP binding [GO:0005524]; Notch binding [GO:0005112]
Q8MYW2	unreviewed	microtubule binding [GO:0008017]
P16905	reviewed	3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; cAMP binding [GO:0030552]; cAMP-dependent protein kinase regulator activity [GO:0008603]
Q9W144	unreviewed	
Q7KM15	unreviewed	
P16914	reviewed	mRNA binding [GO:0003729]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; translation repressor activity, mRNA regulatory element binding [GO:0000900]
Q9VYI0	unreviewed	mRNA binding [GO:0003729]; poly(U) RNA binding [GO:0008266]
Q9W158	unreviewed	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]
P17133	reviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; U1 snRNA binding [GO:0030619]
Q06453	reviewed	sequence-specific DNA binding [GO:0043565]
Q9VMY3	unreviewed	
Q9VSB8	unreviewed	DNA binding [GO:0003677]; identical protein binding [GO:0042802]
Q9W1S5	unreviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
Q9XZ11	unreviewed	
Q9V9X1	unreviewed	
Q9VLT1	reviewed	cytoskeletal regulatory protein binding [GO:0005519]
Q9VRI9	reviewed	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
Q9VYW2	unreviewed	juvenile hormone binding [GO:0005500]; juvenile hormone receptor activity [GO:0004880]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; transcription factor binding [GO:0008134]
P92204	reviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q8MRQ2	unreviewed	
Q9VB95	unreviewed	structural constituent of chitin-based cuticle [GO:0005214]
Q9VC68	unreviewed	
Q9VF59	unreviewed	
Q9VHN7	unreviewed	catalytic activity [GO:0003824]
Q9VMI5	unreviewed	
Q9VPM1	unreviewed	flavin adenine dinucleotide binding [GO:0050660]; tRNA dihydrouridine synthase activity [GO:0017150]
Q9VPN0	unreviewed	
Q9VSL3	reviewed	glutathione dehydrogenase (ascorbate) activity [GO:0045174]; glutathione transferase activity [GO:0004364]; protein homodimerization activity [GO:0042803]; pyrimidodiazepine synthase activity [GO:0004734]; transferase activity, transferring sulfur-containing groups [GO:0016782]
Q9VU96	unreviewed	
Q9W076	unreviewed	neuropeptide hormone activity [GO:0005184]
Q9XZ12	unreviewed	
Q9Y137	unreviewed	glycerol-3-phosphate O-acyltransferase activity [GO:0004366]; sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity [GO:0102420]
Q9VA53	unreviewed	enzyme regulator activity [GO:0030234]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]
Q9VSV2	unreviewed	amino acid:cation symporter activity [GO:0005416]; amino acid:sodium symporter activity [GO:0005283]; L-amino acid transmembrane transporter activity [GO:0015179]; neurotransmitter:sodium symporter activity [GO:0005328]; neurotransmitter transporter activity [GO:0005326]
Q7JZW2	unreviewed	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q86PF4	unreviewed	calcium ion binding [GO:0005509]
Q8IMX7	reviewed	calcium ion binding [GO:0005509]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]
Q9VEF1	unreviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription regulatory region DNA binding [GO:0044212]; zinc ion binding [GO:0008270]
C0HK94	reviewed	
C0HK92	reviewed	
C0HK95	reviewed	
Q9VIT0	unreviewed	DNA binding [GO:0003677]; DNA polymerase binding [GO:0070182]; DNA polymerase processivity factor activity [GO:0030337]
Q9VNP4	unreviewed	DNA binding [GO:0003677]
Q9VVD0	unreviewed	
Q9VWU7	unreviewed	
Q9W3N8	unreviewed	ATP binding [GO:0005524]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]
Q07152	reviewed	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]
Q9VG84	unreviewed	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]
P17970	reviewed	delayed rectifier potassium channel activity [GO:0005251]; voltage-gated potassium channel activity [GO:0005249]
P17971	reviewed	A-type (transient outward) potassium channel activity [GO:0005250]; voltage-gated potassium channel activity [GO:0005249]
Q9W3V5	unreviewed	G protein-coupled acetylcholine receptor activity [GO:0016907]; G protein-coupled amine receptor activity [GO:0008227]
P18101	reviewed	protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]
Q7K161	unreviewed	inositol trisphosphate phosphatase activity [GO:0046030]
Q7YZ91	unreviewed	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
Q9VA06	unreviewed	
Q9VBT8	unreviewed	
Q9VH90	reviewed	K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; metal ion binding [GO:0046872]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]
Q9VU19	unreviewed	chromatin DNA binding [GO:0031490]; transcription coactivator activity [GO:0003713]
Q9VW42	unreviewed	
Q9VLM0	unreviewed	carbohydrate binding [GO:0030246]; galactose binding [GO:0005534]
X2JCU8	unreviewed	dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]
P18105	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule plus-end binding [GO:0051010]
Q9VKZ0	unreviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
P18106	reviewed	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipid binding [GO:0005543]; protein tyrosine kinase activity [GO:0004713]
Q24154	reviewed	chromatin binding [GO:0003682]; structural constituent of ribosome [GO:0003735]
Q9V831	reviewed	ubiquitin protein ligase activity [GO:0061630]
P18171	reviewed	structural constituent of chorion [GO:0005213]
Q8T8S1	unreviewed	cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]
P21525	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; protein serine/threonine kinase activity [GO:0004674]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; repressing transcription factor binding [GO:0070491]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
P49455	reviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]; kinesin binding [GO:0019894]
P91679	reviewed	dipeptide transmembrane transporter activity [GO:0071916]; oligopeptide transmembrane transporter activity [GO:0035673]; peptide:proton symporter activity [GO:0015333]; peptide transmembrane transporter activity [GO:1904680]; proton-dependent oligopeptide secondary active transmembrane transporter activity [GO:0005427]
Q9VL20	unreviewed	core promoter sequence-specific DNA binding [GO:0001046]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q9XZS8	reviewed	DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
P18431	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q9VQL2	unreviewed	zinc ion binding [GO:0008270]
P49415	reviewed	
Q23972	reviewed	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; myosin binding [GO:0017022]; translation repressor activity [GO:0030371]; translation repressor activity, mRNA regulatory element binding [GO:0000900]
Q9VBQ5	unreviewed	
R9PY16	unreviewed	protein tag [GO:0031386]; ubiquitin protein ligase binding [GO:0031625]
P18487	reviewed	oxidoreductase activity [GO:0016491]; polyamine oxidase activity [GO:0046592]
P20432	reviewed	DDT-dehydrochlorinase activity [GO:0018833]; glutathione transferase activity [GO:0004364]
P47948	reviewed	calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]
Q24547	reviewed	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
Q8IM86	unreviewed	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; diacylglycerol binding [GO:0019992]; phospholipid binding [GO:0005543]; syntaxin-1 binding [GO:0017075]
Q9VBL3	unreviewed	syntaxin binding [GO:0019905]
Q9VH76	unreviewed	SNAP receptor activity [GO:0005484]; syntaxin binding [GO:0019905]
Q9VI75	reviewed	1-phosphatidylinositol binding [GO:0005545]; clathrin binding [GO:0030276]
Q9VPI9	unreviewed	Rho guanyl-nucleotide exchange factor activity [GO:0005089]
Q9W1I8	unreviewed	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]
Q7JNE1	unreviewed	
P20480	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein homodimerization activity [GO:0042803]
Q0KI06	unreviewed	
Q24174	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]
Q24372	reviewed	protein homodimerization activity [GO:0042803]
Q29QV5	unreviewed	
Q3YMU0	unreviewed	protein disulfide isomerase activity [GO:0003756]
Q6WV16	reviewed	carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]
Q7K4M9	unreviewed	
Q7KLX3	unreviewed	
Q7KN75	unreviewed	mRNA 3'-UTR binding [GO:0003730]; satellite DNA binding [GO:0003696]; single-stranded DNA binding [GO:0003697]
Q7KU24	reviewed	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; helicase activity [GO:0004386]
Q8IGP5	unreviewed	nucleic acid binding [GO:0003676]
Q8IMK1	unreviewed	Rab GTPase binding [GO:0017137]
Q8MR27	unreviewed	
Q8MSZ0	unreviewed	
Q8T092	unreviewed	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
Q9NB71	reviewed	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q9TVI0	unreviewed	glutamate-gated calcium ion channel activity [GO:0022849]; glutamate receptor activity [GO:0008066]; ionotropic glutamate receptor activity [GO:0004970]; kainate selective glutamate receptor activity [GO:0015277]
Q9VAU9	reviewed	zinc ion binding [GO:0008270]
Q9VI20	unreviewed	ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
Q9VKJ3	reviewed	structural constituent of nuclear pore [GO:0017056]
Q9VKQ7	unreviewed	proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q9VL77	unreviewed	PDZ domain binding [GO:0030165]
Q9VM04	unreviewed	Rho guanyl-nucleotide exchange factor activity [GO:0005089]
Q9VPX3	unreviewed	methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]
Q9VVI3	reviewed	myosin binding [GO:0017022]; Notch binding [GO:0005112]; protein domain specific binding [GO:0019904]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q9VW34	unreviewed	chitinase activity [GO:0004568]; chitin binding [GO:0008061]; chitin deacetylase activity [GO:0004099]
Q9VWC0	unreviewed	chromatin binding [GO:0003682]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
Q9VX32	reviewed	GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; semaphorin receptor binding [GO:0030215]
Q9VXR3	unreviewed	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q9VZJ4	unreviewed	exopolyphosphatase activity [GO:0004309]
Q9W0C4	unreviewed	gamma-glutamyl carboxylase activity [GO:0008488]
Q9W2N8	unreviewed	nucleic acid binding [GO:0003676]
Q9W3V3	unreviewed	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
X2JE74	unreviewed	cell adhesion molecule binding [GO:0050839]
X2JG79	unreviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]
P18537	reviewed	G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
P18824	reviewed	alpha-catenin binding [GO:0045294]; cadherin binding [GO:0045296]; kinase binding [GO:0019900]; nuclear hormone receptor binding [GO:0035257]; protein phosphatase binding [GO:0019903]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]
Q24178	reviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
Q9VT31	unreviewed	
Q9W4F5	unreviewed	protein tyrosine phosphatase activity [GO:0004725]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
S5ML38	unreviewed	threonine-type endopeptidase activity [GO:0004298]
P19018	reviewed	identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]
P19107	reviewed	opsin binding [GO:0002046]
Q5U156	unreviewed	nucleic acid binding [GO:0003676]
Q9VJD2	reviewed	
Q9W0W6	reviewed	neuropeptide hormone activity [GO:0005184]; receptor ligand activity [GO:0048018]
Q24151	reviewed	cytokine receptor binding [GO:0005126]; DNA binding [GO:0003677]; histone binding [GO:0042393]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]
Q9NHP1	unreviewed	cadherin binding [GO:0045296]
Q9U6Y9	reviewed	histone-arginine N-methyltransferase activity [GO:0008469]; protein-arginine N-methyltransferase activity [GO:0016274]; protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]; protein methyltransferase activity [GO:0008276]
Q9VC79	unreviewed	
Q9VCH7	unreviewed	
Q9VFN5	unreviewed	chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]
Q9VFN9	unreviewed	
Q9VJ97	reviewed	
Q9VK31	unreviewed	phosphatidylinositol binding [GO:0035091]
Q9VM71	reviewed	5'-3' exonuclease activity [GO:0008409]; 5'-3' exoribonuclease activity [GO:0004534]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
Q9VSA3	reviewed	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; medium-chain-acyl-CoA dehydrogenase activity [GO:0070991]
