P45985	Q14315
Q13489	P51668
Q9H6Y7	P51668
Q9H6Y7	P51965
Q9H6Y7	Q96BI1
Q96BI1	Q9H6Y7
O60260	P68036
O60260	Q96LR5
P19474	P62837
P38398	P61077
Q99728	P61077
Q96KQ7	O75626
Q15306	P41182
Q15306	P42226
Q86XS8	P51668
Q86XS8	P61077
Q86XS8	P62837
Q86XS8	P51965
P38398	P49959
P38398	P0CG48
Q9BZL1	O43290
O43290	Q9BZL1
P09874	Q8IW19
P09874	Q96EP1
Q14669	P51668
Q14669	P0CG48
Q13617	P78395
P62877	P78395
Q13617	P62877
Q15369	Q15370
Q15369	P78395
Q15370	P78395
Q9NW38	Q9NPD8
Q9NW38	Q96B02
P46736	P0CG48
P46736	Q96RL1
P22314	Q712K3
P22314	P61086
P22314	P62256
P22314	Q96B02
P22314	O00762
P22314	P63146
P22314	P49459
P22314	Q16763
P22314	P51668
P22314	P62837
P22314	P61077
P22314	Q9NPD8
A0AVT1	P62837
A0AVT1	Q9H832
P22314	P49427
P22314	Q969T4
P22314	Q96LR5
P22314	P51965
P22314	P62253
P22314	P68036
P22314	P60604
A0AVT1	P68036
O95793	P62753
P46937	Q969H0
Q969H0	P46937
P04637	Q9UBE8
Q9UBE8	P04637
P04637	Q00987
O75604	P0CG48
O60260	P62837
O60260	P60604
O60260	P62253
O60260	P61088
O60260	Q13404
O60260	Q8IWA4
O60260	P0CG48
P84022	O43524
O95863	Q06587
Q06587	O95863
Q99496	O95863
O95863	Q99496
O95863	Q15910
O60260	Q14457
O60260	Q9C0C7
P49840	Q14596
P49841	Q14596
P40337	Q16665
P29590	P54253
P78317	P54253
P78317	P51668
P42858	Q96J02
Q96J02	P42858
P61077	P25963
Q9UKB1	P49427
P0CG48	P61088
P0CG48	P22314
P0CG48	P45974
P0CG48	P63146
P0CG48	Q96FW1
P0CG48	P55072
P0CG48	P68036
P0CG48	A0AVT1
P0CG48	P63208
P0CG48	Q96CS3
P0CG48	Q13618
P0CG48	Q9NPD8
P0CG48	Q92890
P0CG48	P49427
P0CG48	Q7Z569
P0CG48	Q8TAT6
P0CG48	Q7Z6Z7
P0CG48	Q13501
P0CG48	Q5T4S7
P0CG48	O60784
P0CG48	Q13617
P0CG48	Q13616
P0CG48	Q9C0C9
P0CG48	Q96S55
P0CG48	P55209
P0CG48	P24534
P0CG48	Q9UM54
P0CG48	Q07021
P0CG48	P40227
P0CG48	P49368
P0CG48	P10809
P0CG48	P53396
Q96S55	P0CG48
Q9NS91	P0CG48
P54578	Q13200
P54578	O75460
P62877	Q13616
P62877	P61081
P62877	P62837
Q9NW38	Q0VG06
O15287	Q9NW38
Q6NZ36	Q9NW38
Q9NPI8	Q9NW38
Q8IYD8	Q9NW38
O15287	O15360
O15360	O15287
O15360	Q6NZ36
Q9NPI8	Q8IYD8
Q8TDB6	Q8IXQ6
Q8IXQ6	P09874
Q8IXQ6	Q8TDB6
Q8TDB6	P42224
Q13227	O60907
Q13227	Q9Y618
Q13227	O15379
Q99706	Q9Y4K3
Q9Y4K3	Q99706
Q00987	O43623
P10909	P11021
P53350	P38398
Q6PGQ7	P38398
P42574	P02511
P55210	P02511
P42574	P98170
P55210	P98170
Q14790	P98170
P55211	P98170
P53350	Q6PGQ7
Q504Q3	Q58A45
Q9H0Z9	Q00987
Q9UNN5	Q9P0L0
Q9UNN5	O95292
Q9UNN5	P55072
Q9P0L0	Q9UNN5
O95292	Q9UNN5
Q9UNN5	P0CG48
O95292	O43681
O95292	P46379
Q9GZQ8	Q9Y4P1
Q9GZQ8	O95352
O95292	P11441
Q9UNN5	O43681
O43681	O95292
O43681	P46379
O43681	Q9UNN5
Q9UNN5	P04844
O95292	P04844
O95292	P39656
O95292	Q15042
O95292	Q9H2M9
O95292	Q5JSH3
Q9P0L0	Q15042
Q9P0L0	Q5JSH3
Q15042	Q9H2M9
Q5JSH3	O95292
Q9GZQ8	Q9NT62
Q13501	Q9GZQ8
O95292	P22059
O95292	Q969R2
O95292	Q9H1P3
O95292	Q9H4L5
O95292	Q9BZF3
O95292	Q96SU4
O95292	Q9BXB5
O95292	Q9BXB4
O95292	O00562
Q13263	P45973
P45973	Q13263
P45973	Q16695
P01137	P62942
Q9BQA1	Q15797
Q9BQA1	P10275
Q15797	Q9BQA1
Q15797	P10275
O15151	P04637
P10275	P43364
P10275	Q09472
Q96JH7	P55072
Q96JH7	Q9BTA9
Q96JH7	P0CG48
P68400	P23396
P49023	P78536
P23396	Q12933
Q12933	P23396
P04637	Q00987
O75689	Q96S59
O75689	P19338
P23396	Q04206
P23396	P19838
Q96S59	O75689
Q00987	P04637
P19525	Q9Y4K3
Q12933	P19525
O14775	P59768
O14775	P63215
O14775	Q9P2W3
P62873	P59768
O14775	O94810
O14920	Q9Y6K9
Q14145	Q16236
Q96BH1	Q969T4
Q96BH1	P62837
Q969T4	Q96BH1
P62837	Q96BH1
Q9UL63	Q96S59
Q14164	P0CG48
P61086	P0CG48
O95831	P46379
Q16827	P55072
Q16827	P09327
Q16827	P02549
Q07820	P04637
Q92843	P04637
P05186	P68104
Q13950	Q9UBN7
P49792	P62826
Q96S59	P62826
P05107	Q96S59
O75081	Q86T24
P10828	Q96S59
Q96S59	P10828
Q96S59	P10275
Q04864	P10275
P20823	Q9UBS8
Q9UBS8	P20823
P15884	P35222
P35222	P15884
P34932	Q16665
Q16665	P07900
Q16665	P63244
Q9Y4K3	Q16665
Q16665	Q9Y4K3
Q9ULX9	Q16236
O15525	Q16236
O60675	Q16236
O14686	O15550
O14686	Q9UBL3
O14686	Q15291
O14686	P61964
Q15910	Q15022
Q15910	O75530
Q15910	P38398
P38398	Q15910
Q9H7D7	P62873
Q7Z434	Q9Y4K3
Q13114	Q7Z434
Q7Z434	Q13114
Q9Y4K3	Q7Z434
O14965	P49841
P49841	O14965
Q9NR09	Q9NR28
P46100	Q9UER7
P46100	P49959
P46100	P12956
P46100	O60934
P46100	P04637
P46100	P04908
P05129	Q6VN20
P38398	P13010
P13010	P38398
Q9Y6K9	O15111
Q9Y6K9	O14920
P09769	Q9Y6K9
P12931	Q9Y6K9
P40337	O14965
O14965	P40337
O43681	P60468
P10914	Q09472
P10914	Q92831
P55072	P67775
P55072	P30153
Q16254	Q08999
O43889	Q92905
Q92905	O43889
O43889	P51610
Q9GZX5	Q13263
Q9GZX5	P38398
Q09472	P61201
P59768	P16520
P63218	P16520
Q9UK08	P16520
P50151	P16520
Q9UBI6	P16520
P16520	P59768
P16520	P63218
P16520	Q9UK08
P16520	P50151
P16520	Q9UBI6
P04637	Q8TEB7
Q8TEB7	P04637
P04637	Q00987
O15503	Q9UKV5
O15503	P55072
O15503	P04035
Q9UKV5	O15503
P04035	O15503
P04035	Q9UKV5
Q9UKV5	P04035
Q9NX47	O95140
Q9NX47	O00429
Q9UPT9	Q9Y4A5
Q9UPT9	Q92830
Q9UPT9	O75528
Q9UPT9	O15265
Q9UPT9	Q12962
Q92830	Q9UPT9
P01106	Q9UPT9
P38398	P61077
Q99728	P61077
Q9GZQ8	Q86VP1
Q9BXW4	Q86VP1
Q96EP0	Q9H0F6
Q9BYM8	Q9H0F6
Q96EP0	Q9BYM8
P60510	Q9Y6K9
Q9BYM8	Q96EP0
Q9Y6K9	P60510
Q9H0F6	Q9BYM8
Q9H0F6	Q96EP0
P57735	Q96CV9
Q96EP0	P0CG48
O60260	P68036
Q9Y4X5	P68036
O60260	P61077
Q9Y4X5	P61077
Q15554	Q8IY92
Q92889	Q8IY92
Q9Y2K6	O75943
O75943	Q9Y2K6
Q92624	P05067
P05067	Q01105
Q9H0K1	Q9UQL6
P56524	P27348
Q9UQL6	P27348
Q96CS3	O15503
P29590	P46100
P29590	Q9UER7
P29590	P54198
O76041	A4UGR9
Q8IY92	Q15554
Q702N8	P20929
Q8IY92	Q92889
Q8IY92	Q96NY9
A4UGR9	P20929
A4UGR9	O76041
Q702N8	O76041
O76041	Q702N8
P20929	Q702N8
P20929	A4UGR9
Q9UER7	P46100
P10398	Q02750
P10909	P11021
P10909	P14625
P10909	Q9Y4L1
Q96NY9	Q8IY92
Q9P0L2	P10636
Q96L34	P10636
Q13303	P22460
P22460	Q13303
Q00987	P04637
Q9BZL1	O43290
P10074	Q09472
P10074	O95365
O95365	P10074
Q7L0Y3	Q12849
Q12849	Q7L0Y3
Q8IY92	Q15554
P49961	Q96S59
Q96S59	P49961
Q96BF6	Q92769
Q96BF6	Q13330
Q96BF6	O94776
Q96BF6	Q14839
Q92769	Q96BF6
Q13330	Q96BF6
O94776	Q96BF6
Q14839	Q96BF6
Q96CA5	P42574
Q96MX6	P15514
Q6ZNE5	Q8NEB9
Q6ZNE5	Q99570
Q676U5	Q8TDY2
Q676U5	Q9H1Y0
Q676U5	O75385
Q8TDY2	Q676U5
Q96S59	P21127
P21127	Q96S59
Q9H6Z9	Q13501
Q13501	Q9H6Z9
Q702N8	Q14315
Q96S59	Q06787
Q06787	Q96S59
P02511	P04792
P02511	Q16082
P68363	Q9UBN7
P49715	P10276
P49715	Q05516
Q13547	Q05516
P49715	Q13547
O94905	O75477
O94905	Q12770
O94905	O15503
Q14012	Q7KZI7
Q7KZI7	Q14012
Q96SI1	P05549
P05549	Q96SI1
P38398	Q6UWZ7
P38398	Q99708
P38398	Q99728
Q14315	Q9UMS6
P21333	Q9UMS6
Q13618	Q14145
Q9BTE6	O14654
Q9BTE6	P63172
Q9BTE6	Q9ULT8
Q9BTE6	Q71U36
Q9BTE6	P04792
Q9BTE6	P50454
O95433	P53041
O95433	P08238
O95433	Q13451
O95433	P07900
O95433	Q02790
O95433	Q08752
O95433	Q9UHD1
O95433	Q15785
O95433	Q9BW92
O00170	Q16543
O00170	P07900
O00170	P08238
O00170	O94966
O00170	Q6IA69
O00170	Q15185
O00170	Q9NVR5
Q99933	Q15773
Q99933	Q9UNE7
Q99933	O75190
Q99933	O94822
Q99933	Q9UDY4
Q99933	P25685
O95816	Q15773
O95816	Q9UNE7
O95816	Q15833
O95816	O75190
O95816	P25685
O95816	Q15750
O95817	Q9UJY1
O95817	Q15773
O95817	P04792
O95817	Q9UNE7
O95817	Q969T9
O95817	O75190
O95817	Q86UU1
O95817	Q9NR12
O95817	Q4VCS5
O95429	P54652
O95429	Q9UNE7
O95429	Q15773
O95429	Q9NPI6
O95429	O75190
O95429	P25685
O95429	Q96F86
O95429	P34931
O95429	Q8WXX5
O95429	Q9NXW2
O95429	P26196
O95429	Q9NPY3
O95429	Q99615
Q9UL15	Q8TDM6
Q9UL15	Q9Y6D9
Q9UL15	Q13257
Q9HB71	Q9H4P4
Q9HB71	Q86X55
P22681	P62993
P22681	Q96B97
P22681	P62258
P22681	P52907
P22681	Q9Y5K6
P22681	O60256
P22681	Q04917
Q16543	P04049
Q16543	O15111
Q16543	P11802
Q16543	O14920
Q16543	Q96GD4
Q16543	P08238
Q16543	Q13451
Q16543	Q02790
Q16543	P07900
Q16543	O94966
Q16543	P53041
Q16543	O95433
Q16543	Q9H7B4
Q16543	Q14247
Q16543	Q92900
Q16543	Q9UNE7
Q16543	P63208
Q16543	Q9H3U1
Q16543	Q9Y6K9
Q16543	Q9UHD1
Q16543	O95801
Q16543	Q15785
Q16543	P78406
Q16543	Q8WXH0
Q16543	Q08752
Q16543	Q8N5M4
Q16543	O00170
Q16543	P10398
Q16543	P06493
Q16543	Q9UQ88
Q16543	P52948
Q16543	Q9UIM3
Q16543	P25685
Q16543	P16591
Q16543	Q92990
Q16543	Q92841
Q16543	Q9H6T3
Q16543	P42684
Q16543	Q9BW92
Q16543	Q99615
Q16543	P52272
Q7L3B6	P08238
Q7L3B6	P07900
Q7L3B6	P53041
Q7L3B6	Q02790
Q7L3B6	Q15785
Q7L3B6	O94966
Q7L3B6	Q16543
Q7L3B6	P62081
Q7L3B6	Q9UNE7
Q7L3B6	O95801
Q7L3B6	Q9UHD1
Q7L3B6	Q13451
Q7L3B6	P08708
Q7L3B6	Q92990
Q7L3B6	Q9NZQ9
Q7L3B6	P31948
Q7L3B6	O14980
Q9UHD1	P08238
Q9UHD1	P07900
Q9UHD1	Q02790
Q9UHD1	P68363
Q9UHD1	Q9HAV4
Q9UHD1	Q15785
Q9UHD1	Q9BW92
Q9NPI6	Q8IZD4
Q9NPI6	P26196
Q9NPI6	Q96F86
Q9NPI6	Q6P2E9
Q9NPI6	Q8IU60
Q8IZD4	Q9NPI6
Q8IZD4	P26196
Q8IZD4	Q96F86
Q8IZD4	Q6P2E9
Q8IZD4	Q96AV8
Q8IZD4	P35813
Q8WW22	Q14249
Q8WW22	O60884
Q8WW22	P31689
Q8WW22	Q71U36
Q8WW22	Q9BUF5
Q8WW22	Q13015
Q8WW22	Q3ZCQ8
Q8WW22	Q6NSI4
Q8WW22	P04350
Q8WW22	P60891
Q99615	P34931
Q02790	P08238
Q02790	Q9Y2Z0
Q02790	P07900
Q02790	Q9HB71
Q02790	Q16543
Q02790	O95433
Q02790	Q9UHD1
Q02790	Q92990
Q02790	Q15185
Q02790	O94966
Q02790	Q9UK45
Q13451	Q9Y2Z0
Q13451	Q8IVD9
Q13451	P08238
Q13451	Q13418
Q13451	Q9Y266
Q13451	P07900
Q13451	Q9UKV8
Q13451	Q9HB71
Q13451	P04150
Q13451	O15111
Q13451	Q96GD4
Q13451	P10398
Q13451	Q15185
Q13451	Q92990
Q13451	Q7L3B6
Q13451	O95801
Q13451	Q9UHD1
Q13451	Q9H9A6
Q13451	Q9Y6K9
Q13451	Q96EK5
Q13451	Q16543
Q13451	O95433
Q13451	Q8IV38
Q13451	Q9GZT9
Q13451	Q9BTY7
Q13451	Q9BTE3
Q13451	Q16342
Q13451	P50750
Q13451	P11802
Q13451	Q9UQ88
Q13451	Q9UL18
Q13451	Q71U36
Q13451	Q96AD5
Q13451	O75190
Q13451	Q86SX3
Q13451	Q6NSI4
Q13451	P06737
Q13451	P33991
O75344	P22059
O75344	P08238
O75344	P07900
O75344	O94966
O75344	Q15185
O75344	Q16543
O75344	Q9UHV9
O75344	P61758
Q14318	Q13371
Q14318	Q9Y2Z0
Q14318	Q15185
Q14318	Q9HB71
Q14318	Q9NZL4
Q9UIM3	Q8WVL7
Q9UIM3	P08238
Q9UIM3	O94966
Q9UIM3	Q16543
Q9UIM3	P07900
Q9UIM3	P68363
Q9UIM3	Q9BW92
Q9UIM3	O95433
Q00613	O95817
Q00613	Q03933
Q00613	O00505
Q00613	O95757
Q00613	P22392
Q00613	O00629
Q00613	P04792
Q00613	Q9NZL4
Q9ULV5	Q13451
Q9ULV5	Q00613
Q9ULV5	Q03933
Q9ULV5	Q15276
Q9ULV5	Q86VW0
Q9ULV5	Q13395
Q9ULV5	Q9Y5L4
Q9ULV5	Q9Y2Z0
Q9ULV5	Q9UKN7
Q4G112	P12814
Q4G112	Q9Y3Z3
P08238	P07900
P08238	Q8IWD4
P08238	P53041
P08238	O95801
P08238	Q9UNE7
P08238	Q15785
P08238	Q13451
P08238	Q16543
P08238	Q02790
P08238	O95433
P08238	Q9BTY7
P08238	Q71U36
P08238	Q15185
P08238	P31948
P08238	Q9NZQ9
P08238	Q9HB71
P08238	O00170
P11142	O95816
P11142	Q92598
P11142	O95817
P11142	P54652
P11142	O95429
P11142	O75190
P11142	Q3B7T1
P11142	Q8WXX5
P11142	P18505
P11142	P34932
P11142	O95757
P11142	Q9NZL4
P11142	Q9Y4L1
P11142	Q71U36
P11142	P50502
P11142	P31689
P11142	Q9UNE7
P11142	Q9NXW2
P11142	P48728
P11142	O60884
P11142	P53992
P11142	Q96CP2
P04792	Q5TA76
O14654	P53041
O14654	Q15185
O14654	Q9HB71
O14654	Q9Y2I1
O14654	Q14257
O14654	Q15293
O14654	P62258
O14654	P31946
O14654	Q9NNW5
O14654	Q9Y5V3
O14654	O00459
O14654	P61981
O14654	O00499
O14654	P07858
O14654	Q9UFH2
O14654	Q92538
O14654	Q96D09
O14654	P13674
O14654	P27986
O14654	Q92569
O14654	Q71U36
O14654	Q93008
O14654	Q04917
O14654	P04049
O14654	O60884
O14654	P27348
O14654	Q9BUF5
O14654	P63104
O14654	Q13451
O14654	P04350
O14654	O43852
O14654	Q96EY1
O14654	Q9H078
O14654	O15460
O14654	P04792
O14654	Q9ULX6
O14654	Q9BZK7
O14654	Q9UNF1
Q9UKP3	P10276
Q9UKP3	P10826
Q9UKP3	Q9HAV4
Q9UKP3	P13631
Q9UKP3	Q15435
Q9UKP3	P37108
Q9UKP3	O00469
Q9UKP3	Q9BRP1
Q9UKP3	Q99755
Q9UKP3	Q15014
Q86X45	Q14160
Q9BTE3	Q13451
Q9BTE3	Q14145
Q9BTE3	P49736
Q9BTE3	P25205
Q9BTE3	P33991
Q9BTE3	P33992
Q9BTE3	Q14566
Q9BTE3	P33993
Q9BTE3	Q9UJA3
Q9BTE3	Q9NXL9
Q15773	O75190
Q15773	P17066
Q15773	P25685
Q15773	O95817
Q15773	O95816
Q15773	Q9UDY4
Q9Y266	O60884
Q9Y266	P25685
Q9Y266	Q96JY0
Q9Y266	P31689
Q9Y266	P08708
Q96RS6	Q14562
Q96RS6	Q92620
Q96RS6	O60231
Q96RS6	P53618
Q96RS6	Q9UBF2
Q96RS6	Q8IX18
Q96RS6	P48444
Q96RS6	Q9H6R0
Q96RS6	P61923
Q96RS6	P04062
Q96RS6	O14579
Q96RS6	A2VDF0
Q96RS6	P53621
Q96RS6	P35606
Q96RS6	Q9Y678
Q96RS6	O43143
Q96RS6	Q96M86
Q96RS6	A3KMH1
Q96RS6	O95436
Q96RS6	Q15303
Q8IVD9	P51610
Q8IVD9	Q86X55
Q8IVD9	Q6P5Z2
Q8IVD9	Q99523
Q8IVD9	Q6NSI4
Q8IVD9	Q04837
Q8IVD9	Q86V97
Q8IVD9	Q15393
Q8IVD9	Q9P2J3
Q8IVD9	Q96C01
Q8IVD9	Q13451
O43175	Q9Y6I3
O43175	Q03395
O43175	Q15811
Q08752	Q8IXQ4
Q08752	O95433
Q08752	Q16543
Q08752	Q15185
P53041	P07900
P53041	Q15185
P53041	Q9UHD1
P53041	P08238
P53041	Q16543
P53041	O95433
Q9P035	P16615
Q9P035	P40855
Q9P035	P20020
Q9P035	Q9Y6E2
Q9P035	Q9NVI1
Q9H6T3	Q9UBK9
Q9H6T3	Q9NUG6
Q9H6T3	Q9HB71
Q9H6T3	Q9Y265
Q9H6T3	Q9UHR6
Q9H6T3	O43175
Q9H6T3	Q9Y230
Q9H6T3	O94966
Q9H6T3	Q9BVM2
Q9H6T3	O94763
Q9H6T3	Q96MX6
Q9H6T3	Q9UHV9
Q9H6T3	Q9Y2Z0
Q9H6T3	Q9NWS0
Q9H6T3	P19388
Q9H6T3	P60891
O43765	O95816
O43765	P11441
O43765	Q7L5D6
O43765	O43681
O43765	P46379
O43765	Q9NXW2
O43765	O95757
P31948	Q8IWD4
P31948	O95816
P31948	P08238
P31948	P07900
P31948	O75190
P31948	Q15773
Q9UNE7	Q15773
Q9UNE7	P54652
Q9UNE7	O75190
Q9UNE7	O95816
Q9UNE7	Q6IA69
Q9UNE7	P61088
Q9UNE7	P34931
Q9UNE7	O95757
Q9UNE7	Q9NUQ3
Q9Y2Z0	Q9H9A6
Q9Y2Z0	O00170
Q9Y2Z0	Q9HB71
Q9Y2Z0	Q9H4P4
Q9Y2Z0	Q13451
Q9Y2Z0	Q02790
Q9Y2Z0	Q15404
Q9Y2Z0	Q13309
Q9Y2Z0	Q8IW35
Q99614	O95292
Q99614	O95757
Q99614	Q9P0L0
Q99614	Q9H4P4
Q99614	Q71U36
Q99614	O95816
O95801	P07900
O95801	Q9UHD1
O95801	P08238
O95801	Q16543
O95801	Q709F0
O95801	Q9BTY7
O95801	Q3B7T1
O95801	Q9NZQ9
O95801	O95433
Q9H3U1	Q6ZRV2
Q8IWX7	P08238
Q8IWX7	P07900
Q8IWX7	O95433
Q92466	Q01831
Q13137	O00214
O00214	Q13137
Q14315	Q702N8
Q702N8	P50552
P50552	Q702N8
Q9Y6Y0	Q08211
Q9Y6Y0	Q00839
Q9Y6Y0	Q12906
Q9Y6Y0	Q9BUJ2
Q9Y6Y0	P52272
Q9Y6Y0	P14866
Q9Y6Y0	P61978
Q9Y6Y0	P06733
Q9Y6Y0	P24928
Q9NZV8	P42658
Q9NZV8	Q9Y2W7
Q9Y2W7	Q9NZV8
Q16695	Q9H160
O14907	Q86Y01
O14907	O95793
Q9UNE7	P34932
Q14249	P34932
Q13114	O43353
O43353	Q13114
O95793	Q08211
O95793	P62424
O95793	P68104
O95793	P11940
O95793	Q92900
O95793	Q9BZI7
O95793	P61221
O95793	Q9NZI8
O95793	Q13148
O95793	O14980
O14980	O95793
P61221	O95793
Q9NZI8	O95793
Q13148	O95793
Q14103	O95793
Q9UIM3	Q8WVL7
Q16543	P04049
P31948	Q8IWD4
Q16543	O15111
Q16543	P11802
Q96RS6	Q14562
Q00613	O95817
Q15773	O75190
Q16543	O14920
Q96RS6	Q92620
Q96RS6	O60231
Q7L3B6	P08238
O95817	Q9UJY1
O95817	Q15773
O95816	Q15773
Q16543	Q96GD4
P11142	O95816
Q99933	Q15773
O14654	P53041
Q8IVD9	P51610
P08238	P07900
Q96RS6	P53618
Q13451	Q9Y2Z0
O75344	P22059
Q00613	Q03933
Q13451	Q8IVD9
P22681	P62993
Q8WW22	Q14249
Q9UNE7	Q15773
Q96RS6	Q9UBF2
P11142	Q92598
P11142	O95817
Q7L3B6	P07900
P08238	Q8IWD4
Q13451	P08238
O95817	P04792
O95433	P53041
Q9UKP3	P10276
P11142	P54652
Q9Y2Z0	Q9H9A6
Q13451	Q13418
Q16543	P08238
Q16543	Q13451
Q9BTE6	O14654
Q96RS6	Q8IX18
Q02790	P08238
O95429	P54652
P08238	P53041
Q13451	Q9Y266
Q8WW22	O60884
Q8IWX7	P07900
Q02790	Q9Y2Z0
Q13451	P07900
Q16543	Q02790
Q16543	P07900
O95433	P08238
Q9H6T3	Q9UBK9
Q9Y266	O60884
O95816	Q9UNE7
O43765	O95816
P22681	Q96B97
Q99933	Q9UNE7
Q13451	Q9UKV8
O95433	Q13451
O95817	Q9UNE7
O14654	Q15185
O95816	Q15833
Q02790	P07900
Q15773	P17066
O14654	Q9HB71
O95433	P07900
P08238	O95801
Q13451	Q9HB71
Q96RS6	P48444
O43765	P11441
Q9Y2Z0	O00170
O95429	Q9UNE7
O75344	P08238
P53041	P07900
Q13451	P04150
Q13451	O15111
Q16543	O94966
Q13451	Q96GD4
O95429	Q15773
O14654	Q9Y2I1
Q13451	P10398
Q16543	P53041
O14654	Q14257
Q96RS6	Q9H6R0
Q02790	Q9HB71
Q13451	Q15185
Q9HB71	Q9H4P4
O75344	P07900
O43765	Q7L5D6
Q9UNE7	P54652
Q13451	Q92990
Q9UNE7	O75190
Q7L3B6	P53041
O95816	O75190
O95817	Q969T9
Q16543	O95433
Q9UIM3	P08238
O95429	Q9NPI6
O14654	Q15293
Q9P035	P16615
Q9H6T3	Q9NUG6
Q16543	Q9H7B4
Q9P035	P40855
Q99614	O95292
P53041	Q15185
P31948	O95816
P11142	O95429
P31948	P08238
O14654	P62258
Q9H6T3	Q9HB71
Q15773	P25685
P11142	O75190
O95801	P07900
O75344	O94966
Q7L3B6	Q02790
Q9UIM3	O94966
Q9Y2Z0	Q9HB71
P31948	P07900
O95429	O75190
Q9H6T3	Q9Y265
Q13451	Q7L3B6
Q96RS6	P61923
Q16543	Q14247
O75344	Q15185
Q08752	Q8IXQ4
P11142	Q3B7T1
Q9UIM3	Q16543
Q9UIM3	P07900
P08238	Q9UNE7
Q16543	Q92900
O75344	Q16543
P08238	Q15785
O14654	P31946
P31948	O75190
O95433	Q02790
P22681	P62258
Q99933	O75190
O95433	Q08752
Q96RS6	P04062
Q16543	Q9UNE7
Q9Y2Z0	Q9H4P4
Q9Y266	P25685
Q9H6T3	Q9UHR6
Q16543	P63208
Q16543	Q9H3U1
Q13451	O95801
Q9UHD1	P08238
O95433	Q9UHD1
Q16543	Q9Y6K9
Q13451	Q9UHD1
Q16543	Q9UHD1
O95817	O75190
Q9H6T3	O43175
Q16543	O95801
O14654	Q9NNW5
Q9UHD1	P07900
Q9Y266	Q96JY0
P53041	Q9UHD1
Q9H6T3	Q9Y230
Q16543	Q15785
Q14318	Q13371
O00170	Q16543
O00170	P07900
Q13451	Q9H9A6
Q16543	P78406
O95801	Q9UHD1
Q9H6T3	O94966
Q16543	Q8WXH0
O95429	P25685
O00170	P08238
Q16543	Q08752
Q13451	Q9Y6K9
Q9UHD1	Q02790
Q13451	Q96EK5
Q00613	O00505
O14654	Q9Y5V3
Q7L3B6	Q15785
O14654	O00459
O43765	O43681
Q9H6T3	Q9BVM2
Q96RS6	O14579
O14654	P61981
Q16543	Q8N5M4
Q15773	O95817
Q9Y2Z0	Q13451
P08238	Q13451
P08238	Q16543
Q13451	Q16543
P08238	Q02790
P53041	P08238
Q9Y2Z0	Q02790
Q02790	Q16543
P08238	O95433
Q9UNE7	O95816
Q13451	O95433
O95801	P08238
P53041	Q16543
Q02790	O95433
Q08752	O95433
O95801	Q16543
Q16543	O00170
Q08752	Q16543
Q02790	Q9UHD1
O95801	Q709F0
Q4G112	P12814
Q13451	Q8IV38
Q16543	P10398
O43765	P46379
O14654	O00499
Q96RS6	A2VDF0
P22681	P52907
Q8IVD9	Q86X55
P22681	Q9Y5K6
Q16543	P06493
Q16543	Q9UQ88
Q96RS6	P53621
Q96RS6	P35606
Q96RS6	Q9Y678
O14654	P07858
Q8IZD4	Q9NPI6
Q9NPI6	Q8IZD4
Q9NPI6	P26196
Q8IZD4	P26196
Q96RS6	O43143
Q9UL15	Q8TDM6
O14654	Q9UFH2
Q8WW22	P31689
Q9Y266	P31689
P11142	Q8WXX5
Q96RS6	Q96M86
Q9BTE6	P63172
O95429	Q96F86
Q9NPI6	Q96F86
Q8IZD4	Q96F86
Q9NPI6	Q6P2E9
Q8IZD4	Q6P2E9
Q13451	Q9GZT9
O43175	Q9Y6I3
Q13451	Q9BTY7
P08238	Q9BTY7
O95801	Q9BTY7
Q9H3U1	Q6ZRV2
Q9ULV5	Q13451
Q9BTE3	Q13451
P11142	P18505
O14654	Q92538
Q02790	Q92990
O14654	Q96D09
Q9BTE6	Q9ULT8
Q9ULV5	Q00613
Q9ULV5	Q03933
P11142	P34932
Q00613	O95757
P11142	O95757
Q99614	O95757
P11142	Q9NZL4
P11142	Q9Y4L1
Q9BTE3	Q14145
Q96RS6	A3KMH1
Q9UL15	Q9Y6D9
Q9BTE3	P49736
Q9BTE3	P25205
Q9BTE3	P33991
Q9BTE3	P33992
Q9BTE3	Q14566
Q9BTE3	P33993
Q9BTE3	Q9UJA3
Q9BTE3	Q9NXL9
Q13451	Q9BTE3
Q9UNE7	Q6IA69
Q00613	P22392
Q16543	P52948
O14654	P13674
Q13451	Q16342
O14654	P27986
O14654	Q92569
Q8IVD9	Q6P5Z2
Q9ULV5	Q15276
Q9UKP3	P10826
O43175	Q03395
Q4G112	Q9Y3Z3
Q9ULV5	Q86VW0
Q96RS6	O95436
Q8IVD9	Q99523
Q9ULV5	Q13395
Q9ULV5	Q9Y5L4
O95433	Q15785
Q9BTE6	Q71U36
Q8WW22	Q71U36
P11142	Q71U36
O14654	Q71U36
Q9UHD1	P68363
Q9UIM3	P68363
Q8WW22	Q9BUF5
Q9UNE7	P61088
Q9H6T3	O94763
O14654	Q93008
Q99614	Q9P0L0
Q9H6T3	Q96MX6
Q9UHD1	Q9HAV4
Q9UKP3	Q9HAV4
O14654	Q04917
Q9UKP3	P13631
Q13451	P50750
Q9H6T3	Q9UHV9
Q7L3B6	O94966
Q8IVD9	Q6NSI4
Q13451	P11802
Q9BTE6	P04792
Q9H6T3	Q9Y2Z0
Q02790	Q15185
O14654	P04049
Q14318	Q9Y2Z0
